artifact,bytes,sha256,description
corrected_H_18_69_Female_bundles.rds,17721208,B2FA1530C23DC16C2F7D48D4A56D533C3B6B49CDC76E6B45D74BC56008E095BD,Final corrected-weight 18-69 Female five-imputation GAMLSS bundle as supplied by the final analysis; not post-fit altered or minimized in this assembly.
corrected_H_18_69_Male_bundles.rds,20474197,A11A01B43D5C4C4922566990144612D814927D1BC6518ED4DCA7082F4FE6C8BA,Final corrected-weight 18-69 Male five-imputation GAMLSS bundle as supplied by the final analysis; not post-fit altered or minimized in this assembly.
