sex,imputation,family,n,converged,iterations,effective_df,global_deviance,AIC,BIC,attempt,elapsed_seconds
Male,1,BCT,8128,TRUE,7,25.908468721189905,45189.5480929031,45241.36503034548,45422.80385479251,1,6.914103031158447
Male,2,BCT,8128,TRUE,6,25.90559638993117,45180.16985502922,45231.98104780908,45413.399757118765,1,5.4809980392456055
Male,3,BCT,8128,TRUE,6,25.985659648012707,45194.6101291671,45246.58144846313,45428.560846387176,1,5.662853002548218
Male,4,BCT,8128,TRUE,7,25.737061215783427,45148.07229785097,45199.54642028254,45379.784865941576,1,6.530771017074585
Male,5,BCT,8128,TRUE,6,25.99576310891241,45142.07480748536,45194.06633370319,45376.116486872874,1,5.400463104248047
